Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,7079446,570431,7649877
2002,11,6612595,502136,7114731
2002,12,7220998,531834,7752832
2002,TOTAL,83700730,7019169,90719899
2003,1,6256572,501708,6758280
2003,2,5870602,406908,6277510
2003,3,6962353,491280,7453633
2003,4,6145813,448587,6594400
2003,5,6330578,482973,6813551
2003,6,6819044,584526,7403570
2003,7,7186864,631965,7818829
2003,8,6997110,640776,7637886
2003,9,5728266,532769,6261035
2003,10,6657727,536982,7194709
2003,11,6222544,501685,6724229
2003,12,6494295,546344,7040639
2003,TOTAL,77671768,6306503,83978271
2004,1,5811244,505444,6316688
2004,2,5945233,435337,6380570
2004,3,6939267,554436,7493703
2004,4,6697058,602306,7299364
2004,5,6756571,636447,7393018
2004,6,7227106,727669,7954775
2004,7,7465888,770449,8236337
2004,8,6990016,735386,7725402
2004,9,5592484,618841,6211325
2004,10,6719259,613865,7333124
2004,11,6534768,558698,7093466
2004,12,6585438,630844,7216282
2004,TOTAL,79264332,7389722,86654054
2005,1,6181166,617932,6799098
2005,2,6037652,529426,6567078
2005,3,7451564,715546,8167110
2005,4,6852422,685445,7537867
2005,5,6918818,743673,7662491
2005,6,7052541,792338,7844879
2005,7,7392260,839396,8231656
2005,8,6971761,785448,7757209
2005,9,5590403,682944,6273347
2005,10,5791053,660114,6451167
2005,11,5729451,597837,6327288
2005,12,5502327,702173,6204500
2005,TOTAL,77471418,8352272,85823690
2006,1,5178427,669107,5847534
2006,2,4832741,562043,5394784
2006,3,5984020,793447,6777467
2006,4,5359953,784461,6144414
2006,5,5146846,841844,5988690
2006,6,5621749,1034440,6656189
2006,7,5800757,1118062,6918819
2006,8,5425930,1008984,6434914
2006,9,4624176,800356,5424532
2006,10,5244035,771702,6015737
2006,11,5117138,729948,5847086
2006,12,5056445,894393,5950838
2006,TOTAL,63392217,10008787,73401004
2007,1,4621285,865822,5487107
2007,2,4347112,728193,5075305
2007,3,5601307,970854,6572161
2007,4,5246031,907322,6153353
2007,5,5142785,931666,6074451
2007,6,5569865,1130654,6700519
2007,7,5765824,1238220,7004044
2007,8,5641320,1138378,6779698
2007,9,4692230,886657,5578887
2007,10,5218171,851536,6069707
2007,11,4907762,813768,5721530
2007,12,4740516,957552,5698068
2007,TOTAL,61494208,11420622,72914830
2008,1,4447414,895726,5343140
2008,2,4457313,785929,5243242
2008,3,5388259,1051782,6440041
