Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,4830714,792379,5623093
2002,11,4348668,712756,5061424
2002,12,5069138,777458,5846596
2002,TOTAL,57784719,9490682,67275401
2003,1,4369263,732924,5102187
2003,2,4102945,603146,4706091
2003,3,4843520,689765,5533285
2003,4,4536394,517354,5053748
2003,5,4699311,587265,5286576
2003,6,5038178,728925,5767103
2003,7,5400012,812197,6212209
2003,8,5223454,839038,6062492
2003,9,4265898,754389,5020287
2003,10,4688073,766133,5454206
2003,11,4391521,723513,5115034
2003,12,4742188,771340,5513528
2003,TOTAL,56300757,8525989,64826746
2004,1,4155776,732579,4888355
2004,2,4197443,669223,4866666
2004,3,5029770,793659,5823429
2004,4,5022073,744999,5767072
2004,5,5120358,772278,5892636
2004,6,5604403,856511,6460914
2004,7,5833064,878846,6711910
2004,8,5818290,876265,6694555
2004,9,4803786,806850,5610636
2004,10,5099458,789224,5888682
2004,11,4602256,734005,5336261
2004,12,4781381,813292,5594673
2004,TOTAL,60068058,9467731,69535789
2005,1,4229943,832152,5062095
2005,2,3907166,721354,4628520
2005,3,4725384,906815,5632199
2005,4,4385818,837493,5223311
2005,5,4749146,882503,5631649
2005,6,5052563,942981,5995544
2005,7,5113511,956257,6069768
2005,8,4964338,949729,5914067
2005,9,4338021,843870,5181891
2005,10,4608511,840758,5449269
2005,11,4465313,769870,5235183
2005,12,4613608,845255,5458863
2005,TOTAL,55153322,10329037,65482359
2006,1,4284312,852651,5136963
2006,2,4113536,740246,4853782
2006,3,5008165,922795,5930960
2006,4,4835959,895149,5731108
2006,5,5030198,920206,5950404
2006,6,5228045,986683,6214728
2006,7,5333170,1024491,6357661
2006,8,5093192,992326,6085518
2006,9,4460363,860956,5321319
2006,10,4827296,855258,5682554
2006,11,4538865,835501,5374366
2006,12,4455662,881800,5337462
2006,TOTAL,57208763,10768062,67976825
2007,1,4364450,865601,5230051
2007,2,4055672,746826,4802498
2007,3,5088482,947707,6036189
2007,4,4921177,895584,5816761
2007,5,5047618,937792,5985410
2007,6,5136177,1010445,6146622
2007,7,5165814,1037716,6203530
2007,8,5157349,1023499,6180848
2007,9,4297104,896710,5193814
2007,10,4687662,895672,5583334
2007,11,4345102,835657,5180759
2007,12,4132676,915739,5048415
2007,TOTAL,56399283,11008948,67408231
2008,1,3814616,885930,4700546
2008,2,3853886,791670,4645556
2008,3,4696223,978600,5674823
2008,4,4471328,890892,5362220
2008,5,4651223,946139,5597362
2008,6,4862311,984198,5846509
